well_id,datetime,oil_rate,gas_rate,water_rate,total_liquid_rate,tubing_pressure,casing_pressure,line_pressure,flowing_temperature,gas_oil_ratio,status,uptime,downtime_minutes,allocation_oil_volume,allocation_gas_volume,allocation_water_volume,site_id,revenue,operating_cost,profit,cost_per_barrel,incident_id,incident_title,incident_description,category,region,flow_rate,pressure,temperature,vibration,site_name,lat,lon,manager,phone,email
W0001,2025-08-27,51.411,230.358,462.697,514.108,1713.6,863.1,392.3,153.4,4480.7,active,91.56,121.0,51.411,230.358,462.697,S004,6360.36,22666.95,-16643.38,252.4047,0.0,,,safety,Permian Central,23.69304166666667,6131.0485,197.52016666666668,2.845913043478261,EE Site 4,30.292934,-101.121177,Alex Chen,+1-832-321-1466,alex.chen@conocophillips.com
W0001,2025-08-28,46.116,239.736,416.951,463.068,1718.8,948.9,391.2,159.3,5198.5,active,94.84,74.0,46.116,239.736,416.951,S004,5864.09,22316.66,-16775.34,259.279,0.0,,,safety,Permian Central,21.066458333333333,10950.601791666668,195.24391666666668,2.3846666666666665,EE Site 4,30.292934,-101.121177,Alex Chen,+1-832-321-1466,alex.chen@conocophillips.com
W0001,2025-08-29,48.789,228.471,443.141,491.929,1917.1,861.7,342.6,138.9,4682.9,active,96.99,43.0,48.789,228.471,443.141,S004,6152.43,22696.12,-16869.42,261.2728,0.0,,,safety,Permian Central,22.96120833333333,6940.121958333333,203.82886956521742,2.5039583333333333,EE Site 4,30.292934,-101.121177,Alex Chen,+1-832-321-1466,alex.chen@conocophillips.com
W0001,2025-08-30,47.507,245.872,433.498,481.005,1791.4,980.3,364.5,143.5,5175.4,active,100.0,0.0,47.507,245.872,433.498,S004,6115.34,22390.58,-16607.08,253.0419,0.0,,,safety,Permian Central,22.262375000000002,10685.269583333333,195.74854166666668,2.3242083333333334,EE Site 4,30.292934,-101.121177,Alex Chen,+1-832-321-1466,alex.chen@conocophillips.com
W0001,2025-08-31,52.094,256.715,477.548,529.642,1987.8,690.4,382.9,150.9,4928.0,active,95.89,59.0,52.094,256.715,477.548,S004,6510.57,23556.4,-17401.62,248.2761,0.0,,,safety,Permian Central,21.46620833333333,6683.731478260869,196.5544761904762,2.8218333333333336,EE Site 4,30.292934,-101.121177,Alex Chen,+1-832-321-1466,alex.chen@conocophillips.com
W0001,2025-09-01,49.885,232.377,459.433,509.318,1773.6,928.6,409.1,144.8,4658.2,active,90.04,143.0,49.885,232.377,459.433,S004,6370.37,11195.51,-5157.44,126.3395,0.0,,,safety,Permian Central,22.915125,6487.232833333333,195.04895833333333,2.6396363636363636,EE Site 4,30.292934,-101.121177,Alex Chen,+1-832-321-1466,alex.chen@conocophillips.com
W0001,2025-09-02,48.152,221.952,445.541,493.693,1839.5,857.6,370.5,151.0,4609.4,active,98.75,18.0,48.152,221.952,445.541,S004,6309.39,10873.16,-4883.07,127.7032,0.0,,,safety,Permian Central,22.952181818181817,6303.216681818181,207.57666666666668,2.4920434782608694,EE Site 4,30.292934,-101.121177,Alex Chen,+1-832-321-1466,alex.chen@conocophillips.com
W0001,2025-09-03,53.349,217.914,495.944,549.293,1752.9,782.9,361.8,152.6,4084.7,active,95.02,72.0,53.349,217.914,495.944,S004,6208.04,11404.55,-5532.78,127.1864,0.0,,,safety,Permian Central,19.292454545454543,9764.66325,194.99225,2.613086956521739,EE Site 4,30.292934,-101.121177,Alex Chen,+1-832-321-1466,alex.chen@conocophillips.com
W0001,2025-09-04,50.248,224.58,469.312,519.56,1749.5,872.6,317.9,148.4,4469.4,active,91.75,119.0,50.248,224.58,469.312,S004,5995.03,11103.87,-5437.6,126.6437,0.0,,,safety,Permian Central,22.244583333333335,6640.5687916666675,208.30626086956522,2.509695652173913,EE Site 4,30.292934,-101.121177,Alex Chen,+1-832-321-1466,alex.chen@conocophillips.com
W0001,2025-09-05,50.146,245.1585,470.58000000000004,520.7265,1792.85,884.9000000000001,310.6,154.9,4889.7,active,93.58500000000001,92.5,50.146,245.1585,470.58000000000004,S004,6309.86,11457.73,-5489.115,125.92734999999999,0.0,,,safety,Permian Central,21.566333333333333,6301.058895833334,200.0786304347826,2.49018115942029,EE Site 4,30.292934,-101.121177,Alex Chen,+1-832-321-1466,alex.chen@conocophillips.com
